review,label
yaklaşık 2 yıldır kullanıyorum.bu zamana kadar hiç şikayetim yoktu.son aldığım bez berbat.sızdırıyor.kalite düşmüş.tavsiye etmiyorum.,neg
"son aldığım bezler sızdırıyor,eskiden aldıklarım böyle değildi.",neg
uzun zamandır kullanıyoruz. çok sıkıntı yaşamadık. tavsiye ederim...,neg
hiç eskisi gibi değil. artık sızdırıyor. neden böyle incelttiler anlamıyorum. herhalde para meselesi,neg
son aldığım bez sızdırıyor ....  çok yazık !!!  böyle büyük bir firmanın hatalı ürünlerini piyasaya sürmesi akıl alır gibi değil.. ,neg
eskiden çok kaliteliydi. aama şuan üretilenler berbat. eski ürünler kalın ve muhteşem emicilik ve kuruluk saglıyordu. şuan üretilenler çok ince ve her çiş sızdırıyor. her çiş yapışından sonra bezle birlikte kıyafet te degişiyoruz. eski kalitesine dönmedigi sürece bu markayı asla kullanmayacagız,neg
yenilenen primayı beğenmedim. çünkü sızdırıyor her seferinde kızımın  bütün kıyafetlerini değiştirmek zorunda kalıyorum. en başından beridir prima kullanıyordum şimdi hayal kırıklığı oldu açıkçası. umarım yorumlar dikkate alınır. siteden yana hiç bir sıkıntı yaşamadım.,neg
pri̇ma kali̇tesi̇ tartişilmaz tabi̇ki̇de ama i̇nternetten alinnan i̇le marketten aldiğiniz arasinda fark edi̇lecek bi̇r i̇nceli̇k söz konusu.,neg
20 aylık kızıma doğduğundan beri prima alıyoruz. hatta sürekli hepsi buradadan aldık ve alışverişimizde hiçbir problem yaşamadık. ancak son iki aydır prima bez kalitesini değiştirdi ve daha kötü oldu. kızımın belinde kızarıklık yaptı ve aşırı sızdırıyor. bir daha kesinlikle prima almam. ,neg
yine hepsiburadaya devam ancak farklı bez tercihi ile.,neg
her zamankinden farklı geldi kalitesiz sizdiriyor tavsiye etmem,neg
yeniledik demişler ama mahvetmisler bezi. kalite sıfır. müthiş sızdırıyor.emicilik falan kalmamıs.2 kutu almıştım bir de....başka bez alacağım artık. tavsiye etmiyorum ! ,neg
"yaklaşık bir ay önce aldım bu ürünü.bez hiç iyi çıkmadı.sızdırma yapıyor,daha önce de almıştım böyle bir şey yok du.ama bu son ürün çok kötü tavsiye etmem",neg
oğlumun doğduğundan beri bu markayı kullanıyoruz.  i̇lk defa başımıza geldi. sizdirmasini münferit sandık. ancak son aldığımız kolideki her bez sizdiriyor. çişin çok olmasına da bağlı değil. çok yazık. prima markasının güvenilirliğini zedeliyor.,neg
yenilenen emici kanallar marka değerini düşürmüş. eski bezlerde torbalanma oluyordu ama kaliteliydi. bu yenilenen bezler bariz kalitesiz ve sızdırıyor.  artık prima almayacağım. i̇lk günden beri prima kullamıyorduk 16 ayın sonunda yollarımız ayrılıyor malesef.,neg
"yorumlara bakmadan prima kalitesine güvenerek 2 adet sipariş vermiştim, ancak yorumları okuyup ürünü hemen açıp denedik ürün gerçekten rus paketlerinde acayip koku ve incelik var, ürün eski ürünle hiç alakalı bir ürün değil kokusu rahatsız edici nasıl bitireceğiz aldığımız paketi düşünüyoruz, sızdırmama ihtimali kesin var uzun süre özellikle geceleri muhakkak bebeğinizi rahatsız etmek zorunda kalabilirsiniz, hepsi buradanın kargo olayı çok güzel ürün hemen geliyor ancak prima kalitesini acayip bozmuş, yada türkiyeye gönderdiği ürünleri kötü, alırken özellikle bu olumsuzlukları göz önüne getirin...",neg
maalesef ilk kez eksik not aldı prima bizden. her gece 20 aylık bebeğimin bezi sızdı ve bize büyük sıkıntı çıkardı. önceki bezlere göre daha ince ve kalitesiz. bunu 1 hafta kullandıktan sonra fark ettik. bu da doğal olarak çocuğun uykusuna ve bize büyük sorun yarattı.i̇lginç bir detay; ürünün dış kutusunda rusça yazılar var.,neg
uzun suredir kullaniyorum. yenilenen paket berbat cok cok kotu. her sabah ust degistiriyoruz. ortasindan ve on kismindan surekli sizdiriyo. 12 saat degil 5-6 saat bile kuru kalmiyo. alacak olanlara kesinlikle tavsiye etmiyorum. umarim prima urunlerini toplatir,neg
i̇nce sızdırıyor ve kalitesiz ve yapışkan bantları tutmuyor . bir daha almayacağım. ,neg
bu fiyata prima çok iyi dedim. primadan yana bi sıkıntımız yoktu ancak son yeşil paketler gerçekten kötü. ürün incelmiş çok kokulu ve dahası sırttan sozdırıyor. kutuların üzerinde rusça yazılar var almayın derim.,neg
ürünü 2 hafda once aldim fiyati iyi yanliz ürün kaliteli değil sizdiriyo ve yapışkanları kopuyor bezlerken ,neg
"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, haftada bir kez kesin gece sızdırıyor, sanırım emicilik az veya çocuk fazla idrar yapıyor olabilir (!!!)",neg
paketinde rusça yazılar yazan kutuların içindeki bezler  ile paketinde tamamen türkçe yazılar yazan kutuların içindeki bezler çok farklı. dışardan gelenler çok daha ince ve anormal ölçüde sızdırıyor. aktif emici kanallı bezler çıkıncaya kadar prima çok süper iş görüyordu ancak bu son ürünlerde sızdırma problemi çok fazla. bu şikayette bulunan kişilere de tamamen katılıyorum.  bebeğimin doğumundan bu yana kullandığımız ürünler son derece kaliteliydi ama  bu son versiyon ürünlerin kalitesizliği prima kalitesine hiç yakışmadı... prima yetkililerinin piyasadaki bu farklı kalitede satılan ürünlere müdahale etmesinii bekliyorum.tüketicisine saygısını göstermeli ve marka değerini korumalıdır...,neg
memnun değilim yeni primadan sızdırıyor ve kötü kokuyor,neg
eski prima daha iyidi  bu sizdiriyor yeşil tabaka li incecik  birde.  ,neg
yeni yeşil bezler hiç güzel değil çok ince ve hiç bir güven hissi vermemektedir. prima kadar önemli bir firma bu şekilde kötü bir bez seçmesi veya tasarlaması çok kötü bence saygılar,neg
evet yenilendi inceldi bezler eskileri gibi suyu tutmuyor sizdiriyor memnun değiliz bizde ama marketler de aynı ürün var :( eskiden 12 sattı bile sızdırma olmuyordu şimdi 5 saati geçmiyor ,neg
çok kötü hiç bir bebek bezinde bu kadar islakligi dışarı verdiğini görmemiştim hiç bez yok gibi çiş olduğu gibi disarda,neg
yeni oluklu prima eskiye göre ince ve bence eskisi daha kaliteliydi. orjinal olup olmadığı tereddütü bile yaşadık. keşke değiştirmeseydi çok memnunduk ,neg
"son gelen urunden hic memnun kalmadım. bebegimde hic pisik problemi yasamamıstım ki hep prima kullanırım. urunle, serisiyle ilgili bir sıkıntı oldugunu dusunuyorum. ilk gunden itibaren bebegimde cok kotu bir pisik yaptı hala iyilestirmeye calısıyorum. 2 kutu almıstım birini actıgımdan dolayı digerini iade edebildim. tavsiye etmiyorum.",neg
kesinlikle kötü. normal pakette satılanlarla aynı değil.,neg
"son aldığımız prima diğerlerinden daha ince ve de kötüsü sızdırıyor. eger prima ürünü bozmadıysa sahte bu. diger türlüde kandırıldık sayılır zaten, prima kalitesi deyip alıyorsun dandik çıkıyor.",neg
rus malı kalitesiz tavsiye etmiyorum. türkiyedekilerden farklı ve daha ince,neg
"primanin yeni yeşil logolu bezi tamamen rezalet. sizdiriyor, kağıt gibi hiçbir işe yaramıyor.",neg
"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, degistiricez.",neg
oğlum doğduğundan beri kullanıyorum son aldığımız paket sızdırıyor. aylık paket aldığım için 2 paket almıştım. eski üründen gayet memnundum yenilenen ürün kalitesiz.,neg
pisik yapiyor sizdiriyor kizartiyor cok bereketsiz koku yapti,neg
değerlendirmede ortalaması iyi olmasına aldanmayın..yapılan güzel yorumlar benim gibi eski üründen dolayı verilmiş puanlardan kaynaklı.. yenisini kardeşim kullandı berbat..kokuyor ve kaçırıyor...marka ivedi bir şekilde kendini yenilemeli..bugüne kadar primadan başka bez kullanmadım..şimdi piyasada eski bezlerden arıyorum...yada başka markaya yöneleceğim..,neg
i̇ki kez sipariş verdim ilk gelen bez cok iyiydi ama son gelen bez çok inceydi ,neg
"prima kalitesine hiç yakışmayan bir bez üretmişsiniz, artık başka markaya geçeceğiz.  çiş devamlı üstüne çıkıyor, her gece üst baş değişiyoruz. çok yazık.",neg
prima rusca yazan paketindeki urunler feci sizdiriyor ve cocugu rahatsiz ediyor. daha once aldigim urunler daha kalin ve sizdirmiyordu. istedigim urun satisa sunulmayana kadar alisveris yapmayi dusunmuyorum.,neg
"acilen tüm ürünlerinizi toplatın lütfen, paramıza yazık olmasın diye mecbur kullandık ama hep dışarı sızdırıyor, hiç olmadı yakışmadı size prima yetkilileri....",neg
berbat bebeğimin altı hep nemli kalıo bulursanız eskisini alın derim resmen hayal kırıklığı 12saate kadar kuruluk diyor ama emin olun 2 çişte sızıo ve ıslanıo kıyafetleri üretim hatası olmuş resmen bir daha da prima almam ,neg
kızım 20 aylık oldu. bu zaman kadar bir sıkıntım yoktu. yeni gelen koliden çıkan bezler ince ve rahatsız edici pişik yapmaya başladı. son iki koli aldım bin pişman oldum aldığıma. gidin en kötü bezi kullanın bunu almayın şiddetle tavsiye etmiyorum haberiniz olsun,neg
bebegimin butun bezlerini hb dan aldim hepsi bugune kadar superdi fakat bu son paket com sıkıntıli devamli arkadan sizdiriyor esim herseferinde ustbas degistirmek zorunda kaliyor bir koli bez cop olacak bi gidisle bir an once hb buna cozum bulursa seviniriz bu urunu satistan cikartmaniz dilegiyle,neg
yeni ürünler daha emici diye reklam yapılıyor ama eskisine nazaran daha çok sızdırıyor. kullanım ve rahatlık olarak eskilerinden daha iyi ama sızdırmazlık kötü. ,neg
son aldığım 2 koli prima mega box  5 numara ürünleri kalitesiz çıktı.ürün rusya yapımı prima kalitesi ile alakası yok içindeki emici zerreciklerin az olması bezin ince olması ambalajın ince olması ve en önemlisi ıslaklığı hemen dışa vermesi emici özelliği hiç yok.bu rusya yapımı ürünleri bence daha satılmamalı ve toplatılmalı ben şim di bu ay prima almayıp başka bir marka alacağım işin açıkcası...teşekkürler.,neg
ne olmuş prima yenilik yapacağız derken batirmislar. bez çok fazla sizdiriyor,neg
yorumlara aldanarak aldık ama çok pişmanım her kaka yaptığında az da yapsa çok ta yapsa mutlaka ama mutlaka bacaklarından yada sırtından taşırıyor her alt değiştiğimizde kıyafette değiştiriyoruz bu bezin sayesinde.. kalan paketleri çöpe atıcam böyle bişey olamaz ... kaliteli marka diye aldanıp sakın satın almayın sinir sahibi olursunuz... görüp görebileceğiniz en kötü bez olduğuna emin olun başka ne diyim sakın ama sakın satın almayın!!!!!!!!,neg
"ürün çok kötü olmuş, ilk kalitesinde değil.. kesinlikle para vermenin değmeyeceğini düşünüyorum bu beze ",neg
yeni ürün incelmis. cok hafif. ancak çok sızdırıyor. bir ayda biten kutu bu sefer 3 hafta dayanmadi. degistirmezlerse almicam. öncekiler daha iyiydi.,neg
"dün aldığım bezler daha öncekilerden farklı, içerisinde emici yuvarlak tanecikler yok,  mavimsi düz bir tabaka var. eskisi daha güzeldi.",neg
"daha önceden satın alıyordum, herhangi bir sorun yoktu.",neg
"fakat son aldığım paket incecik, kalite düzeyi çok düşük.",neg
"normal ürüne geçene kadar ürün almıycam, alana da tavsiye etmiyorum....",neg
yeni çıkan primalar  sözde emici özelliği varmış ama malesef tam tersine hiç emmiyo ve pişik olmasına sebep oluyo  3-5 kuruş hesabı yaparken bir kutu bez çöpe gitti allahtan hepsiburada gibi dürüst satıcılar var diğer kutuyu sorgusuz sualsiz geri aldı buda bize ders oldu emici kanallar yalanina inanmiyacagiz  hepsiburada ya 5  yıldız süper hızlı ilgi alaka 10 numara,neg
eski kalitesinde değil. ürünü çok bozdular. bezin arka kısmında yumuşak doku olacağı yerde bölge bölge sertleşmiş pamuk-pudra karışımı maddeler var ve bunlar da çocuğun poposunu çok tahriş ediyor. çocuğum sürekli poposundaki bezden şikayetçi olmaya başladı.,neg
"yeteri kadar ememiyor,cocuk çoğu sabah kendisi ve yatak ıslak uyanıyor.",neg
oğluma prima  kullandım. şimdi kızımada prima kullanıyordum taa kii bu son çıkan bezle tanışana kadar..5 numaraya kadar gayet güzel fakat son çıkardıkları emici bez çiş yerine sadece parayı emiyo başka bir şey değil yani .her seferinde kızımın kıyafetleri ıslanıyor.  yanlarda sızdırıyor oda yetmiyor bezin kendinden de sızdırıyor.. aylık paket olarak almıştım hepsiburadadan artık bu kutu bitsin başka marka kullanacağim..,neg
ürün yenilenmiş 2 yıldır kullandığım bez sanki tamamen değişmiş geldi. ürün orta bölümünden sızıntı yapıyor. önceden 8 saat bile dursa sızmaz şişerdi  bez şimdi yenilenen üründe 2-3 saat gibi kısa bir sürede orta bölümünden sızıntı yaşanıyor. tasarım hatası olduğunu düşünüyorum.,neg
çocuğumuzun bezlerini hep buradan aldık. çok memnunduk.,neg
ancak son siparişte fark ettik ki bezler değişmiş. çok kalitesiz olmuşlar.,neg
eski siparişlerin kutusu duruyor yan yana koyunca kutu neredeyse %40 küçülmüş.,neg
ama bez sayısı aynı. demek ki bezlerin malzeme kalitesi çok düşürüldü.,neg
artık buradan bez almayacağım.,neg
bebeğim doğduğundan beri kullanıyordum. son aldığım yeni çıkan reklamlarda çoookkk güzel anlatılan bez berbat. sürekli orta kısmından sızdırıyor. hemde az bir çişte sızdırıyor. kenarlardan sızdırsa anlayacağım da ortadan sızdırması garip. hatalı tasarım olmuş. üç emici kanal diyor ama kanallar tıkalı sanırım ilerlemiyor çişler. :)yeni primayı kimseye önermiyorum. bulabilirseniz eskisinden alın derim.,neg
"bez siparişimiz, her zaman ertesi gün elimize ulaşıyor, bu konuda sıkıntı yok. ancak aylardır kullandığımız ve hiç sorun yaşamadığımız 5 numara prima'nın yeni içeriğini hiç beğenmedik. çocukta ileri derecede pişik yaptı. sanırım bez markasını deiğiştirme vakti geldi. ",neg
yıllardır 2 çocuğumuzda da kullandığımız ürün olmasına rağmen son 1 aydır marketten olsun burdan olsun aldığımız bezler ince ve sızdırıyor kalitesiz olduğu çok belli ucuz bezlere dönmüş başka markalara yönelsin herkes bende öyle yapacağım,neg
sizdiriyor. marketlerdeki prima yla alakası yok.,neg
"daha önce kullandığımız 5 bedenden memnunduk, aynı bedeni tekrar sipariş ettik. bu defa gelen 5 beden çok ince ve iç dokusu çok sert bebeğin cildini kızartıyor. ayrıca müşteri hizmetlerini aradığımda paket açıldığı için yapabilecekleri birşey olmadığını söylediler.paketi açmadan nasıl anlayabilirdim ki bezlerin eski kalitede olmadığını ??? umarım bez ve hepsi̇burada en yakın zamanda eski kalitesine kavuşur....",neg
yaklaşık 1 senedir kesintisiz prima kullandık bebeğimize,neg
ancak eylülden itibaren aldığımız ürünlerde ciddi sorunlar var,neg
"sızdırıyor, pişik yapıyor, koku veriyor...",neg
kaliteden taviz vermişler,neg
bunca yazılanlari umarım ciddiye alırlar,neg
bezler değişmiş incelmis sizdiriyo iade ettim.,neg
dikkat !,neg
bir önceki siparişteki bezle alakası yok. ,neg
hem ince hem sızdıriyor hem de pişik yaptı.,neg
başka ürün bakacağız mecbur. ,neg
elimizdeki bezleri de pişik ilerlememesi için kullanmaktan vazgeçtik. ,neg
"ürünün tasarımı değişmiş ve çok kalitesiz olmuş. her gece bez sızdırıyor ve çocugun üzeri, yatak filan rezil oluyor. üç kanal diye tasarım yapmışlar bezin önü şişiyor orta taraf emmiyor.",neg
düzenli olarak kullndığım bir üründü ama prima 5 numara işe yaramaz..cok cok ince kalitesiz..sızdırma yapıo primayla alakası yok ..i̇ndirimli olmasına aldanmayın...,neg
bugün elime geçen aylik 4 ve 5 numaralı bezler iki oğlumda da aynı etkiyi gösterdi hem sızdırdı hem de pişik yapıyor.umarım hemen eski kalitesine geri döner.,neg
urunu almadan once bi̇r daha dusunun incecik  baska bi̇r markaya geci̇cem,neg
kesinlikle çok ince ve kalitesiz bir ürün. aşırı derecede pişik yapıyor.,neg
her zaman kullandığım iki çocuk buyuttugum bu bezleri,neg
